href;tomatometer;audience_score;genre;director;runtime;studio;cast;date
https://www.rottentomatoes.com/m/this_is_the_end;83;71;Action & Adventure|Comedy|Drama|Horror;Seth Rogen|Evan Goldberg;107 minutes;Sony Pictures;James Franco|Jonah Hill|Seth Rogen|Jay Baruchel|Danny McBride (IV)|Michael Cera;2013-06-11T17:00:00-07:00
https://www.rottentomatoes.com/m/superman_man_of_steel;56;75;Action & Adventure|Science Fiction & Fantasy;Zack Snyder;143 minutes;Warner Bros. Pictures;Henry Cavill|Amy Adams|Michael Shannon|Diane Lane|Russell Crowe|Harry Lennix;2013-06-13T17:00:00-07:00
https://www.rottentomatoes.com/m/the_vow_2012;31;63;Drama|Romance;Michael Sucsy;104 minutes;Sony Pictures;Rachel McAdams|Channing Tatum|Jessica Lange|Sam Neill|Wendy Crewson|Tatiana Maslany;2012-02-09T16:00:00-08:00
https://www.rottentomatoes.com/m/1093976-bachelor;9;28;Comedy|Romance;Gary Sinyor;102 minutes;WARNER BROTHERS PICTURES;Chris O'Donnell|Renée Zellweger|Hal Holbrook|James Cromwell|Edward Asner|Brooke Shields;1999-11-04T16:00:00-08:00
https://www.rottentomatoes.com/m/the_flower_of_my_secret;83;76;Art House & International|Comedy|Drama;Pedro Almodóvar;107 minutes;Sony Pictures Classics;Marisa Paredes|Juan Echanove|Imanol Arias|Carme Elías|Rossy de Palma|Chus Lampreave;1995-03-07T16:00:00-08:00
https://www.rottentomatoes.com/m/the-gods-must-be-crazy;85;84;Action & Adventure|Comedy|Drama;Jamie Uys;109 minutes;20th Century Fox Film Corporat;Marius Weyers|Sandra Prinsloo|N!xau|Louw Verwey|Michael Thys|Jamie Uys;1979-12-31T16:00:00-08:00
https://www.rottentomatoes.com/m/the_great_gatsby_2013;48;67;Drama|Romance;Baz Luhrmann;142 minutes;Warner Bros. Pictures;Leonardo DiCaprio|Carey Mulligan|Tobey Maguire|Isla Fisher|Joel Edgerton|Jason Clarke;2013-05-09T17:00:00-07:00
https://www.rottentomatoes.com/m/mama_2013;64;55;Art House & International|Horror;Andy Muschietti;100 minutes;Universal Pictures;Jessica Chastain|Nikolaj Coster-Waldau|Megan Charpentier|Isabelle Nélisse|Daniel Kash|Javier Botet;2013-01-17T16:00:00-08:00
https://www.rottentomatoes.com/m/silver_linings_playbook;92;86;Comedy;David O. Russell;122 minutes;The Weinstein Company;Bradley Cooper|Jennifer Lawrence|Robert De Niro|Jacki Weaver|Chris Tucker|Anupam Kher;2012-11-20T16:00:00-08:00
https://www.rottentomatoes.com/m/elsa_and_fred_2008;55;92;Art House & International|Comedy|Drama|Romance;Marcos Carnevale;106 minutes;Mitropoulos Films;Manuel Alexandre|China Zorrilla|José Ángel Egido|Blanca Portillo|Roberto Carnaghi|Omar Muñoz;2008-06-26T17:00:00-07:00
https://www.rottentomatoes.com/m/sisterhood_of_the_traveling_pants_2;65;66;Action & Adventure|Comedy|Drama;Sanaa Hamri;117 minutes;Warner Bros. Pictures;Amber Tamblyn|America Ferrera|Blake Lively|Alexis Bledel|Jesse Williams|Michael Rady;2008-08-05T17:00:00-07:00
https://www.rottentomatoes.com/m/les_miserables_2012;69;79;Drama|Musical & Performing Arts|Romance;Tom Hooper;158 minutes;Universal Pictures;Hugh Jackman|Russell Crowe|Anne Hathaway|Amanda Seyfried|Sacha Baron Cohen|Helena Bonham Carter;2012-12-24T16:00:00-08:00
https://www.rottentomatoes.com/m/django_unchained_2012;86;91;Drama|Western;Quentin Tarantino;165 minutes;The Weinstein Co.;Jamie Foxx|Christoph Waltz|Leonardo DiCaprio|Samuel L. Jackson|Walton Goggins|Kerry Washington;2012-12-24T16:00:00-08:00
https://www.rottentomatoes.com/m/10003276-criminal;69;57;Drama|Mystery & Suspense;Greggory Jacobs|Gregory Jacobs|Greg Jacobs;88 minutes;Warner Bros. Pictures;John C. Reilly|Diego Luna|Maggie Gyllenhaal|Jonathan Tucker|Peter Mullan|Zitto Kazann;2004-09-23T17:00:00-07:00
https://www.rottentomatoes.com/m/son_of_the_bride;86;91;Art House & International|Comedy|Drama;Juan José Campanella|Juan J. Campanella;124 minutes;Sony Pictures Classics;Ricardo Darín|Héctor Alterio|Norma Aleandro|Eduardo Blanco|Natalia Verbeke|Gimena Nobile;2002-03-21T16:00:00-08:00
https://www.rottentomatoes.com/m/ruby_sparks;78;75;Comedy|Drama;Jonathan Dayton|Valerie Faris;104 minutes;Fox Searchlight;Paul Dano|Zoe Kazan|Annette Bening|Antonio Banderas|Steve Coogan|Elliott Gould;2012-07-24T17:00:00-07:00
https://www.rottentomatoes.com/m/matchstick_men;82;74;Comedy|Drama;Ridley Scott;116 minutes;Warner Bros. Pictures;Nicolas Cage|Alison Lohman|Sam Rockwell|Bruce McGill|Bruce Altman|Jenny O'Hara;2003-09-11T17:00:00-07:00
https://www.rottentomatoes.com/m/the_hobbit_an_unexpected_journey;64;83;Action & Adventure|Science Fiction & Fantasy;Peter Jackson;170 minutes;Warner Bros.;Ian McKellen|Martin Freeman|Richard Armitage|Ken Stott|Graham McTavish|William Kircher;2012-12-13T16:00:00-08:00
